id,name,category,price,quantity,threshold,warehouse,storage_type
D001,MacBook Pro 14,Laptop,2000,15,5,Cairo,Standard
D002,iPhone 15 Pro,Phone,1100,50,10,Alexandria,High-Security
D003,Samsung S24 Ultra,Phone,1200,4,8,Cairo,Standard
D004,Dell XPS 13,Laptop,1500,10,3,Alexandria,Standard
D005,iPad Air M2,Tablet,600,25,5,Cairo,Standard
A001,USB-C Hub 7-in-1,Accessory,50,100,20,Cairo,Standard
A002,Mechanical Keyboard,Accessory,120,40,10,Alexandria,Standard
A003,Logitech MX Master 3,Accessory,99,2,5,Cairo,Standard
A004,Monitor Arm Dual,Accessory,80,15,5,Alexandria,Standard
A005,HDMI 2.1 Cable,Accessory,20,200,30,Cairo,Standard
D006,Sony WH-1000XM5,Headphones,350,20,5,Alexandria,Standard
D007,AirPods Pro 2,Headphones,250,60,15,Cairo,Standard
D008,Apple Watch Ultra,Smartwatch,800,12,4,Alexandria,High-Security
D009,GoPro Hero 12,Camera,400,8,10,Cairo,Standard
D010,ASUS ROG Strix,Laptop,2500,5,2,Alexandria,Standard
A006,Laptop Stand,Accessory,35,80,10,Cairo,Standard
A007,Thunderbolt 4 Dock,Accessory,300,10,3,Alexandria,Standard
A008,Privacy Screen Filter,Accessory,40,50,10,Cairo,Standard
A009,Laptop Sleeve 14,Accessory,25,120,20,Alexandria,Standard
A010,GaN Charger 100W,Accessory,60,75,15,Cairo,Standard
D011,Nvidia RTX 4090,GPU,1800,3,5,Alexandria,High-Security
D012,Ryzen 9 7950X,CPU,600,15,5,Cairo,Standard
D013,Samsung T7 2TB SSD,Storage,160,30,10,Alexandria,Standard
D014,Logitech C920 WebCam,Peripherals,80,45,10,Cairo,Standard
D015,Blue Yeti Mic,Peripherals,130,22,5,Alexandria,Standard
A011,MicroSD 512GB,Storage,45,150,25,Cairo,Standard
A012,Phone Tripod,Accessory,15,90,15,Alexandria,Standard
A013,Screen Cleaning Kit,Accessory,10,300,50,Cairo,Standard
A014,Cable Organizer,Accessory,12,500,40,Alexandria,Standard
A015,Mouse Pad Extended,Accessory,20,100,20,Cairo,Standard